TIPO|PERIODO|TIPO_USUARIO|TIPO_CONTENIDO|CHANNEL_NAME|USUARIOS|HORAS|GRUPO|PROCESSDATE,,,,,,,,,gsgsfsafasf
T1|202210|LITE|LIVE|AZ CINEMA HD|2118|593,400000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|DISCOVERY HD|67485|28897,316666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|SPACE HD|104864|157128,033333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|CARTOON NETWORK HD|51461|35703,700000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|PANAMERICANA TELEVISION HD|223520|521692,916666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|ESPN HD|14240|37082,133333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|LOLLY KIDS|22443|1430,733333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|CARTOONITO|51866|44917,116666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|CINECANAL HD|3805|3283,633333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|ESPN2 PERU|10399|18066,000000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|AMC HD|56318|39082,916666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|STAR TVE HD|1921|179,083333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|CNN INTERNACIONAL|34886|4526,066666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|NICK HD|50837|27030,983333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|HOMEGARDEN|1711|771,216666|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|WARNER CHANNEL HD|88815|112599,583333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|M PLUS HD|112166|74823,783333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|USMP TV|62075|11920,116666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|INVEST.DISCOVERYHD|4083|2734,466666|[>0]|,,,,,,,,
